Time,Target X,Current X,Error X,Integral Error X,Derivative Error X,Target Y,Current Y,Error Y,Integral Error Y,Derivative Error Y,dt,Kp_x,Ki_x,Kd_x,Kp_y,Ki_y,Kd_y,P_x,I_x,D_x,P_y,I_y,D_y,Output X,Output Y
1741026489.9619224,640,334.0,306.0,532754105928.34827,1.7575838263477108e-07,461.0,303.5,157.5,274211672169.00278,9.046387341495571e-08,1741026489.9619224,0.001,0,0,0,0,0,0.306,0.0,0.0,0.0,0.0,0.0,0.306,0.0
1741026551.1862473,640,205.38807678222656,434.61192321777344,756670897784.2622,2.496296928508361e-07,0.0,26.50013542175293,-26.50013542175293,-46137439379.30302,-1.522098293314199e-08,1741026551.1862473,0.001,0,0,0,0,0,0.4346119232177734,0.0,0.0,-0.0,-0.0,-0.0,0.4346119232177734,-0.0
1741026657.253776,640,201.64108276367188,438.3589172363281,763194560353.349,2.517818526269882e-07,0.0,26.5,-26.5,-46137206417.22507,-1.522090422314384e-08,1741026657.253776,0.001,0,0,0,0,0,0.43835891723632814,0.0,0.0,-0.0,-0.0,-0.0,0.43835891723632814,-0.0
1741026760.412199,640,198.47738647460938,441.5226135253906,768702685474.8383,2.535989816841514e-07,0.0,24.50005531311035,-24.50005531311035,-42655251931.7042,-1.4072187671204899e-08,1741026760.412199,0.001,0,0,0,0,0,0.44152261352539063,0.0,0.0,-0.0,-0.0,-0.0,0.44152261352539063,-0.0
1741026760.436383,640,198.45477294921875,441.54522705078125,768742056238.3689,2.5361197029510867e-07,0.0,24.50005531311035,-24.50005531311035,-42655251932.29671,-1.4072187671009426e-08,1741026760.436383,0.001,0,0,0,0,0,0.44154522705078125,0.0,0.0,-0.0,-0.0,-0.0,0.44154522705078125,-0.0
1741026760.4539094,640,198.49371337890625,441.50628662109375,768674259915.958,2.5358960393347835e-07,0.0,25.0,-25.0,-43525669011.34773,-1.435934275558301e-08,1741026760.4539094,0.001,0,0,0,0,0,0.44150628662109376,0.0,0.0,-0.0,-0.0,-0.0,0.44150628662109376,-0.0
1741026760.4724135,640,198.49371337890625,441.50628662109375,768674259924.1278,2.535896039307831e-07,0.0,25.0,-25.0,-43525669011.81034,-1.4359342755430395e-08,1741026760.4724135,0.001,0,0,0,0,0,0.44150628662109376,0.0,0.0,-0.0,-0.0,-0.0,0.44150628662109376,-0.0
1741026760.5035365,640,198.47738647460938,441.5226135253906,768702685515.1658,2.535989816708471e-07,0.0,24.50005531311035,-24.50005531311035,-42655251933.94197,-1.4072187670466645e-08,1741026760.5035365,0.001,0,0,0,0,0,0.44152261352539063,0.0,0.0,-0.0,-0.0,-0.0,0.44152261352539063,-0.0
1741026760.532676,640,198.99497985839844,441.00502014160156,767801541595.7802,2.533016896343821e-07,0.0,25.0,-25.0,-43525669013.3169,-1.4359342754933372e-08,1741026760.532676,0.001,0,0,0,0,0,0.4410050201416016,0.0,0.0,-0.0,-0.0,-0.0,0.4410050201416016,-0.0
1741026760.5668547,640,198.47738647460938,441.5226135253906,768702685543.1222,2.535989816616241e-07,0.0,24.50005531311035,-24.50005531311035,-42655251935.49327,-1.4072187669954863e-08,1741026760.5668547,0.001,0,0,0,0,0,0.44152261352539063,0.0,0.0,-0.0,-0.0,-0.0,0.44152261352539063,-0.0
